date,Tlog (degC),OT
2020/1/2 8:10,9.1,451.7
2020/1/2 8:20,9.46,453.2
2020/1/2 8:30,9.39,453.5
2020/1/2 8:40,9.13,445.2
2020/1/2 8:50,8.85,443.5
2020/1/2 9:00,8.63,447.1
2020/1/2 9:10,8.51,457.3
2020/1/2 9:20,8.48,459.1
2020/1/2 9:30,8.53,457.2
2020/1/2 9:40,8.62,455.3
2020/1/2 9:50,8.76,457
2020/1/2 10:00,8.93,459.2
2020/1/2 10:10,9.14,463.1
2020/1/2 10:20,9.37,466.5
2020/1/2 10:30,9.64,459.3
2020/1/2 10:40,9.93,453.6
2020/1/2 10:50,10.23,450.3
2020/1/2 11:00,10.53,449.4
2020/1/2 11:10,10.84,451.4
2020/1/2 11:20,11.14,452.8
2020/1/2 11:30,11.43,451.2
2020/1/2 11:40,11.71,448.4
2020/1/2 11:50,11.96,447.1
2020/1/2 12:00,12.2,445.3
2020/1/2 12:10,12.45,445.7
2020/1/2 12:20,12.7,441.9
2020/1/2 12:30,12.97,440.7
2020/1/2 12:40,13.27,440.4
2020/1/2 12:50,13.6,440.7
2020/1/2 13:00,13.98,436.8
2020/1/2 13:10,14.42,435.3
2020/1/2 13:20,14.91,439.8
2020/1/2 13:30,15.43,439.3
2020/1/2 13:40,15.96,439
2020/1/2 13:50,16.49,438.9
2020/1/2 14:00,17,438.6
2020/1/2 14:10,17.49,438.9
2020/1/2 14:20,17.93,437.7
2020/1/2 14:30,18.32,436.4
2020/1/2 14:40,18.65,436.8
2020/1/2 14:50,18.92,434.5
2020/1/2 15:00,19.1,432.3
2020/1/2 15:10,19.21,432.3
2020/1/2 15:20,19.25,434.5
2020/1/2 15:30,19.23,434.5
2020/1/2 15:40,19.18,434.5
2020/1/2 15:50,19.09,435.9
2020/1/2 16:00,18.95,437.8
2020/1/2 16:10,18.73,438.2
2020/1/2 16:20,18.43,437.9
2020/1/2 16:30,18.06,436.7
2020/1/2 16:40,17.62,437.5
2020/1/2 16:50,17.11,441.1
2020/1/2 17:00,16.56,441.2
2020/1/2 17:10,16.02,441.6
2020/1/2 17:20,15.49,440.9
2020/1/2 17:30,15,439.9
2020/1/2 17:40,14.57,440.2
2020/1/2 17:50,14.19,439.9
2020/1/2 18:00,13.83,441.2
2020/1/2 18:10,13.49,444.7
2020/1/2 18:20,13.18,445.8
2020/1/2 18:30,12.9,448.9
2020/1/2 18:40,12.66,449.5
2020/1/2 18:50,12.46,447.1
2020/1/2 19:00,12.29,449.3
2020/1/2 19:10,12.12,447.5
2020/1/2 19:20,11.96,450.5
2020/1/2 19:30,11.82,447.8
2020/1/2 19:40,11.68,441.5
2020/1/2 19:50,11.54,441.3
2020/1/2 20:00,11.42,437.6
2020/1/2 20:10,11.3,444.3
2020/1/2 20:20,11.23,446.7
2020/1/2 20:30,11.21,448.3
2020/1/2 20:40,11.22,448.9
2020/1/2 20:50,11.22,449.2
2020/1/2 21:00,11.24,448.1
2020/1/2 21:10,11.27,447.2
2020/1/2 21:20,11.3,445.8
2020/1/2 21:30,11.35,444.9
2020/1/2 21:40,11.42,443.9
2020/1/2 21:50,11.5,442.9
2020/1/2 22:00,11.59,441.9
2020/1/2 22:10,11.67,438.9
2020/1/2 22:20,11.73,437.7
2020/1/2 22:30,11.76,439
2020/1/2 22:40,11.76,439
2020/1/2 22:50,11.72,438.6
2020/1/2 23:00,11.67,439.4
2020/1/2 23:10,11.6,436.1
2020/1/2 23:20,11.53,435
2020/1/2 23:30,11.49,435.9
2020/1/2 23:40,11.48,436.9
2020/1/2 23:50,11.51,437
2020/1/3 0:00,11.55,434.9
2020/1/3 0:10,11.56,436.4
2020/1/3 0:20,11.53,437
2020/1/3 0:30,11.5,436.4
2020/1/3 0:40,11.48,435.2
2020/1/3 0:50,11.46,433.5
2020/1/3 1:00,11.44,433.3
2020/1/3 1:10,11.45,432.2
2020/1/3 1:20,11.51,431.2
2020/1/3 1:30,11.59,430.9
2020/1/3 1:40,11.68,430.3
2020/1/3 1:50,11.76,430.2
2020/1/3 2:00,11.85,431.1
2020/1/3 2:10,11.92,431.2
2020/1/3 2:20,11.95,431.3
2020/1/3 2:30,11.95,431.4
2020/1/3 2:40,11.92,430.5
2020/1/3 2:50,11.88,430.2
2020/1/3 3:00,11.84,429.6
2020/1/3 3:10,11.85,428.8
2020/1/3 3:20,11.89,428.4
2020/1/3 3:30,11.93,427.5
2020/1/3 3:40,11.98,427.9
2020/1/3 3:50,12.02,428.1
2020/1/3 4:00,12.07,429.2
2020/1/3 4:10,12.13,429.4
2020/1/3 4:20,12.23,430.2
2020/1/3 4:30,12.33,430.1
2020/1/3 4:40,12.39,430.7
2020/1/3 4:50,12.43,430.6
2020/1/3 5:00,12.43,430.4
2020/1/3 5:10,12.42,430.9
2020/1/3 5:20,12.43,431.1
2020/1/3 5:30,12.47,432
2020/1/3 5:40,12.54,433.8
2020/1/3 5:50,12.61,433.9
2020/1/3 6:00,12.66,434.1
2020/1/3 6:10,12.69,433.9
2020/1/3 6:20,12.7,433.5
2020/1/3 6:30,12.72,433.1
2020/1/3 6:40,12.73,433.1
2020/1/3 6:50,12.73,433.7
2020/1/3 7:00,12.76,433.9
2020/1/3 7:10,12.8,434.5
2020/1/3 7:20,12.85,433.4
2020/1/3 7:30,12.89,433.8
2020/1/3 7:40,12.92,434.3
2020/1/3 7:50,12.94,433.7
2020/1/3 8:00,12.97,432.9
2020/1/3 8:10,13,432.3
2020/1/3 8:20,13.03,432.3
2020/1/3 8:30,13.08,433.1
2020/1/3 8:40,13.15,434.4
2020/1/3 8:50,13.25,435.8
2020/1/3 9:00,13.35,435.8
2020/1/3 9:10,13.47,434.5
2020/1/3 9:20,13.59,435.1
2020/1/3 9:30,13.71,435.5
2020/1/3 9:40,13.81,435.4
2020/1/3 9:50,13.88,436.4
2020/1/3 10:00,13.95,436
2020/1/3 10:10,14,435.3
2020/1/3 10:20,14.05,435.4
2020/1/3 10:30,14.11,435.7
2020/1/3 10:40,14.18,435.4
2020/1/3 10:50,14.26,434.5
2020/1/3 11:00,14.35,434.7
2020/1/3 11:10,14.46,434.1
2020/1/3 11:20,14.59,436.1
2020/1/3 11:30,14.72,438.9
2020/1/3 11:40,14.86,434.4
2020/1/3 11:50,14.99,433.7
2020/1/3 12:00,15.12,431.7
2020/1/3 12:10,15.26,432.3
2020/1/3 12:20,15.41,433.8
2020/1/3 12:30,15.56,430.5
2020/1/3 12:40,15.7,425.8
2020/1/3 12:50,15.83,421.8
2020/1/3 13:00,15.91,422.7
2020/1/3 13:10,15.98,422
2020/1/3 13:20,16.03,422.3
2020/1/3 13:30,16.05,422.2
2020/1/3 13:40,16.01,422.8
2020/1/3 13:50,15.94,423.4
2020/1/3 14:00,15.86,423.4
2020/1/3 14:10,15.77,424
2020/1/3 14:20,15.68,424.3
2020/1/3 14:30,15.59,424.5
2020/1/3 14:40,15.5,424.8
2020/1/3 14:50,15.41,425.1
2020/1/3 15:00,15.34,425.2
2020/1/3 15:10,15.29,425.5
2020/1/3 15:20,15.26,425.5
2020/1/3 15:30,15.25,425.8
2020/1/3 15:40,15.26,426
2020/1/3 15:50,15.29,425.7
2020/1/3 16:00,15.33,426
2020/1/3 16:10,15.38,426
2020/1/3 16:20,15.43,425.9
2020/1/3 16:30,15.47,425.7
2020/1/3 16:40,15.49,425.8
2020/1/3 16:50,15.51,425.4
2020/1/3 17:00,15.54,426.1
2020/1/3 17:10,15.58,425.8
2020/1/3 17:20,15.63,426.1
2020/1/3 17:30,15.65,425.9
2020/1/3 17:40,15.65,426.1
2020/1/3 17:50,15.65,425.6
2020/1/3 18:00,15.65,426.3
2020/1/3 18:10,15.65,425.8
2020/1/3 18:20,15.66,425.8
2020/1/3 18:30,15.68,425.8
2020/1/3 18:40,15.7,425.5
2020/1/3 18:50,15.73,425.6
2020/1/3 19:00,15.76,425.3
2020/1/3 19:10,15.79,425.3
2020/1/3 19:20,15.82,425
2020/1/3 19:30,15.82,424.7
2020/1/3 19:40,15.8,424.5
2020/1/3 19:50,15.75,424.4
2020/1/3 20:00,15.72,423.9
2020/1/3 20:10,15.7,423.6
2020/1/3 20:20,15.7,423.3
2020/1/3 20:30,15.71,423.3
2020/1/3 20:40,15.73,423.1
2020/1/3 20:50,15.77,423
2020/1/3 21:00,15.83,422.8
2020/1/3 21:10,15.88,422.9
2020/1/3 21:20,15.94,422.9
2020/1/3 21:30,16.02,422.8
2020/1/3 21:40,16.13,422.8
2020/1/3 21:50,16.25,422.7
2020/1/3 22:00,16.38,422.9
2020/1/3 22:10,16.51,422.9
2020/1/3 22:20,16.76,422.9
2020/1/3 22:30,16.82,423.1
2020/1/3 22:40,16.9,423.2
2020/1/3 22:50,16.98,423.2
2020/1/3 23:00,17.06,423.5
2020/1/3 23:10,17.16,423.2
2020/1/3 23:20,17.34,423.2
2020/1/3 23:30,17.54,423
2020/1/3 23:40,17.59,422.8
2020/1/3 23:50,17.65,421.3
2020/1/4 0:00,17.56,419
2020/1/4 0:10,17.4,419.2
2020/1/4 0:20,17.19,418.2
2020/1/4 0:30,16.98,417.9
2020/1/4 0:40,16.72,417.9
2020/1/4 0:50,16.49,417.9
2020/1/4 1:00,16.3,417.9
2020/1/4 1:10,16.16,417.9
2020/1/4 1:20,16.03,417.9
2020/1/4 1:30,15.91,418.4
2020/1/4 1:40,15.8,418.4
2020/1/4 1:50,15.69,418.3
2020/1/4 2:00,15.59,418.3
2020/1/4 2:10,15.51,418.3
2020/1/4 2:20,15.45,418.3
2020/1/4 2:30,15.4,417.9
2020/1/4 2:40,15.34,417.8
2020/1/4 2:50,15.26,417.9
2020/1/4 3:00,15.16,418.3
2020/1/4 3:10,15.05,418.4
2020/1/4 3:20,14.94,418.8
2020/1/4 3:30,14.81,419
2020/1/4 3:40,14.67,419.4
2020/1/4 3:50,14.51,419.4
2020/1/4 4:00,14.36,419.4
2020/1/4 4:10,14.23,419.4
2020/1/4 4:20,14.14,419.4
2020/1/4 4:30,14.08,419
2020/1/4 4:40,14.02,419.1
2020/1/4 4:50,13.96,419.4
2020/1/4 5:00,13.89,419.4
2020/1/4 5:10,13.82,419.4
2020/1/4 5:20,13.75,419.4
2020/1/4 5:30,13.68,419.6
2020/1/4 5:40,13.61,419.7
2020/1/4 5:50,13.54,419.9
2020/1/4 6:00,13.47,419.9
2020/1/4 6:10,13.43,419.9
2020/1/4 6:20,13.4,420.3
2020/1/4 6:30,13.38,420.3
2020/1/4 6:40,13.38,420.4
2020/1/4 6:50,13.38,420.7
2020/1/4 7:00,13.38,421.2
2020/1/4 7:10,13.38,420.8
2020/1/4 7:20,13.4,420.4
2020/1/4 7:30,13.43,420.4
2020/1/4 7:40,13.45,420.9
2020/1/4 7:50,13.48,420.3
2020/1/4 8:00,13.51,420.5
2020/1/4 8:10,13.55,420.8
2020/1/4 8:20,13.59,421.5
2020/1/4 8:30,13.62,420.8
2020/1/4 8:40,13.66,420.8
2020/1/4 8:50,13.7,420.6
2020/1/4 9:00,13.73,420.9
2020/1/4 9:10,13.74,420.8
2020/1/4 9:20,13.75,420.8
2020/1/4 9:30,13.74,420.8
2020/1/4 9:40,13.72,420.9
2020/1/4 9:50,13.7,420.8
2020/1/4 10:00,13.69,420.9
2020/1/4 10:10,13.69,420.8
2020/1/4 10:20,13.71,420.6
2020/1/4 10:30,13.75,420.6
2020/1/4 10:40,13.79,420.7
2020/1/4 10:50,13.83,421
2020/1/4 11:00,13.88,421.3
2020/1/4 11:10,13.96,421.7
2020/1/4 11:20,14.04,421.5
2020/1/4 11:30,14.12,421.4
2020/1/4 11:40,14.19,421.5
2020/1/4 11:50,14.24,421.3
2020/1/4 12:00,14.29,421.4
2020/1/4 12:10,14.32,421.3
2020/1/4 12:20,14.35,421.2
2020/1/4 12:30,14.36,421.2
2020/1/4 12:40,14.37,421.2
2020/1/4 12:50,14.39,421.2
2020/1/4 13:00,14.43,421.1
2020/1/4 13:10,14.47,420.9
2020/1/4 13:20,14.52,420.8
2020/1/4 13:30,14.58,420.9
2020/1/4 13:40,14.64,420.8
2020/1/4 13:50,14.7,420.8
2020/1/4 14:00,14.75,420.9
2020/1/4 14:10,14.79,420.8
2020/1/4 14:20,14.8,420.9
2020/1/4 14:30,14.82,421.3
2020/1/4 14:40,14.84,421.3
2020/1/4 14:50,14.82,421.3
2020/1/4 15:00,14.74,421.4
2020/1/4 15:10,14.61,421.8
2020/1/4 15:20,14.47,422
2020/1/4 15:30,14.34,422.4
2020/1/4 15:40,14.24,422.8
2020/1/4 15:50,14.19,422.9
2020/1/4 16:00,14.17,423.2
2020/1/4 16:10,14.17,423.2
2020/1/4 16:20,14.19,423.3
2020/1/4 16:30,14.21,423.5
2020/1/4 16:40,14.24,423.8
2020/1/4 16:50,14.28,423.9
2020/1/4 17:00,14.33,424.2
2020/1/4 17:10,14.38,424.3
2020/1/4 17:20,14.45,424.1
2020/1/4 17:30,14.5,423.8
2020/1/4 17:40,14.54,423.7
2020/1/4 17:50,14.57,423.7
2020/1/4 18:00,14.63,423.6
2020/1/4 18:10,14.75,423.3
2020/1/4 18:20,14.83,423.1
2020/1/4 18:30,14.82,421
2020/1/4 18:40,14.74,420.2
2020/1/4 18:50,14.57,419.5
2020/1/4 19:00,14.36,418.6
2020/1/4 19:10,14.12,417.6
2020/1/4 19:20,13.87,417.4
2020/1/4 19:30,13.58,417.8
2020/1/4 19:40,13.18,417.8
2020/1/4 19:50,12.89,418.1
2020/1/4 20:00,12.66,418.3
2020/1/4 20:10,12.48,418.4
2020/1/4 20:20,12.32,418.8
2020/1/4 20:30,12.18,419.1
2020/1/4 20:40,12.07,419.5
2020/1/4 20:50,11.98,420.1
2020/1/4 21:00,11.91,420.1
2020/1/4 21:10,11.85,419.5
2020/1/4 21:20,11.8,419.6
2020/1/4 21:30,11.74,419.9
2020/1/4 21:40,11.7,419.9
2020/1/4 21:50,11.67,419.9
2020/1/4 22:00,11.67,419.9
2020/1/4 22:10,11.67,419.9
2020/1/4 22:20,11.65,419.9
2020/1/4 22:30,11.62,419.9
2020/1/4 22:40,11.57,419.8
2020/1/4 22:50,11.51,419.5
2020/1/4 23:00,11.44,419.4
2020/1/4 23:10,11.37,419.4
2020/1/4 23:20,11.3,419.6
2020/1/4 23:30,11.24,420
2020/1/4 23:40,11.19,419.9
2020/1/4 23:50,11.15,420.1
2020/1/5 0:00,11.11,420
2020/1/5 0:10,11.09,419.8
2020/1/5 0:20,11.05,419.4
2020/1/5 0:30,11.01,419
2020/1/5 0:40,10.99,418.9
2020/1/5 0:50,10.99,418.9
2020/1/5 1:00,11.03,418.9
2020/1/5 1:10,11.1,418.9
2020/1/5 1:20,11.2,419.2
2020/1/5 1:30,11.32,419.3
2020/1/5 1:40,11.45,419.3
2020/1/5 1:50,11.57,419.3
2020/1/5 2:00,11.67,419.6
2020/1/5 2:10,11.75,419.7
2020/1/5 2:20,11.8,419.8
2020/1/5 2:30,11.84,419.7
2020/1/5 2:40,11.87,419.7
2020/1/5 2:50,11.89,419.7
2020/1/5 3:00,11.92,419.7
2020/1/5 3:10,11.95,419.7
2020/1/5 3:20,11.99,419.7
2020/1/5 3:30,12.03,419.7
2020/1/5 3:40,12.05,419.5
2020/1/5 3:50,12.08,419.3
2020/1/5 4:00,12.08,419.3
2020/1/5 4:10,12.09,419.2
2020/1/5 4:20,12.1,419.6
2020/1/5 4:30,12.13,419.7
2020/1/5 4:40,12.18,420
2020/1/5 4:50,12.23,420.1
2020/1/5 5:00,12.27,420
2020/1/5 5:10,12.31,419.7
2020/1/5 5:20,12.34,419.8
2020/1/5 5:30,12.38,420
2020/1/5 5:40,12.42,420.1
2020/1/5 5:50,12.45,420
2020/1/5 6:00,12.49,419.6
2020/1/5 6:10,12.53,419.3
2020/1/5 6:20,12.56,419.3
2020/1/5 6:30,12.58,419.5
2020/1/5 6:40,12.6,419.6
2020/1/5 6:50,12.6,419.3
2020/1/5 7:00,12.63,419.2
2020/1/5 7:10,12.65,419.3
2020/1/5 7:20,12.69,419.2
2020/1/5 7:30,12.72,419.3
2020/1/5 7:40,12.77,419
2020/1/5 7:50,12.82,418.9
2020/1/5 8:00,12.87,419
2020/1/5 8:10,12.93,419.3
2020/1/5 8:20,12.99,419.3
2020/1/5 8:30,13.05,419.2
2020/1/5 8:40,13.11,419
2020/1/5 8:50,13.16,419.2
2020/1/5 9:00,13.21,419.2
2020/1/5 9:10,13.25,418.8
2020/1/5 9:20,13.29,418.4
2020/1/5 9:30,13.31,418.4
2020/1/5 9:40,13.33,418.4
2020/1/5 9:50,13.35,421.7
2020/1/5 10:00,13.4,430.4
2020/1/5 10:10,13.47,431.5
2020/1/5 10:20,13.57,430.5
2020/1/5 10:30,13.69,430.4
2020/1/5 10:40,13.84,429.3
2020/1/5 10:50,14.01,427.9
2020/1/5 11:00,14.19,427
2020/1/5 11:10,14.37,422.2
2020/1/5 11:20,14.53,418.3
2020/1/5 11:30,14.68,419.9
2020/1/5 11:40,14.79,420.2
2020/1/5 11:50,14.88,423.2
2020/1/5 12:00,14.98,418
2020/1/5 12:10,15.08,416.6
2020/1/5 12:20,15.16,416.6
2020/1/5 12:30,15.24,417
2020/1/5 12:40,15.32,416.5
2020/1/5 12:50,15.4,416
2020/1/5 13:00,15.46,416.3
2020/1/5 13:10,15.5,415.9
2020/1/5 13:20,15.54,415.6
2020/1/5 13:30,15.54,415.2
2020/1/5 13:40,15.53,415.3
2020/1/5 13:50,15.5,415.4
2020/1/5 14:00,15.5,415.6
2020/1/5 14:10,15.57,415.3
2020/1/5 14:20,15.72,415.6
2020/1/5 14:30,15.96,415
2020/1/5 14:40,16.22,415.1
2020/1/5 14:50,16.47,415.3
2020/1/5 15:00,16.71,414.8
2020/1/5 15:10,16.91,414.4
2020/1/5 15:20,17.01,414.4
2020/1/5 15:30,17.02,414.2
2020/1/5 15:40,16.94,413.9
2020/1/5 15:50,16.82,413.8
2020/1/5 16:00,16.69,414.5
2020/1/5 16:10,16.56,414.8
2020/1/5 16:20,16.43,414.8
2020/1/5 16:30,16.31,415.1
2020/1/5 16:40,16.19,415.5
2020/1/5 16:50,16.07,415.1
2020/1/5 17:00,15.96,415.8
2020/1/5 17:10,15.86,416.2
2020/1/5 17:20,15.78,416.8
2020/1/5 17:30,15.71,417.9
2020/1/5 17:40,15.65,418.3
2020/1/5 17:50,15.58,418.7
2020/1/5 18:00,15.51,417.7
2020/1/5 18:10,15.42,418
2020/1/5 18:20,15.34,420.3
2020/1/5 18:30,15.28,423.6
2020/1/5 18:40,15.24,423.1
2020/1/5 18:50,15.22,421.1
2020/1/5 19:00,15.2,419.6
2020/1/5 19:10,15.16,419.3
2020/1/5 19:20,15.1,420.7
2020/1/5 19:30,15.02,422.5
2020/1/5 19:40,14.93,422
2020/1/5 19:50,14.86,423.2
2020/1/5 20:00,14.8,423.5
2020/1/5 20:10,14.76,423.4
2020/1/5 20:20,14.72,422.2
2020/1/5 20:30,14.67,423.6
2020/1/5 20:40,14.62,424.1
2020/1/5 20:50,14.56,423.7
2020/1/5 21:00,14.51,423.1
2020/1/5 21:10,14.47,423.2
2020/1/5 21:20,14.44,423.9
2020/1/5 21:30,14.42,424.9
2020/1/5 21:40,14.41,424.7
2020/1/5 21:50,14.4,425
2020/1/5 22:00,14.4,424.7
2020/1/5 22:10,14.39,425.4
2020/1/5 22:20,14.38,424.7
2020/1/5 22:30,14.38,424.2
2020/1/5 22:40,14.4,424
2020/1/5 22:50,14.4,424
2020/1/5 23:00,14.43,423.7
2020/1/5 23:10,14.46,425.7
2020/1/5 23:20,14.49,424.4
2020/1/5 23:30,14.54,423.6
2020/1/5 23:40,14.59,423.9
2020/1/5 23:50,14.66,424.2
2020/1/6 0:00,14.72,423.5
2020/1/6 0:10,14.79,426.3
2020/1/6 0:20,14.85,425.5
2020/1/6 0:30,14.91,426.2
2020/1/6 0:40,14.97,425.7
2020/1/6 0:50,15.02,424.8
2020/1/6 1:00,15.06,424.7
2020/1/6 1:10,15.08,423.6
2020/1/6 1:20,15.09,423.9
2020/1/6 1:30,15.08,423.5
2020/1/6 1:40,15.05,424.8
2020/1/6 1:50,14.99,423.7
2020/1/6 2:00,14.92,424.8
2020/1/6 2:10,14.86,425.2
2020/1/6 2:20,14.81,425.1
2020/1/6 2:30,14.77,425.7
2020/1/6 2:40,14.73,425
2020/1/6 2:50,14.7,425.2
2020/1/6 3:00,14.67,425
2020/1/6 3:10,14.64,426.2
2020/1/6 3:20,14.65,426.4
2020/1/6 3:30,14.66,426.6
2020/1/6 3:40,14.68,427.3
